Broader terms,Términos genéricos,Более широкие термины,مصطلحات أعم,广义词,Termes génériques
Related terms,Términos relacionados,Смежные термины,مصطلحات مترابطة,相关词,Termes associés
Top terms,Términos genéricos superiores,Головные термины,مصطلحات أعلى,族首词,Termes génériques supérieurs
